,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,redemptionRate,timestamp,redemptionPriceActual,redemptionRateActual,activeLiquidations,currentFsmUpdate,currentMedianizerUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price
13,11864026,5456.799518562104,6404.824426640505,0.0017073882439154805,3.0521054944662858,"{'block': '11863946', 'id': '0xb1a3bfd4c66ce8b8a6d7d7070f816eeea083b4adfd04570055bb7bf472275149-334', 'value': '3.14'}",{'hourlyRate': '1'},1613428098,3.14,1.0,0,{'value': '1832.99773346'},{'value': '1787.58727275'},10000000,1,1.019999999999999999972831879,26.66597488721813454,1832.99773346
14,11864260,5456.799518562104,6404.926688826206,0.001772285078867474,3.1681142506682263,"{'block': '11864197', 'id': '0xc314be29fe86efa78d5176385acf637e78c843c166f57914a6b4a84d6aa2849b-312', 'value': '3.14'}",{'hourlyRate': '1'},1613431354,3.14,1.0,0,{'value': '1816.86589628'},{'value': '1787.58727275'},10000000,1,1.019999999999999999972831879,32.26597488721813454,1816.86589628
15,11864895,6256.799518562104,7204.841129160411,0.001772285078867474,3.183307567258602,"{'block': '11864748', 'id': '0x06466d14184f1690859abb3e7756a2ddda9b11f4f886085da1cb426f9e9f784a-328', 'value': '3.14'}",{'hourlyRate': '1'},1613439664,3.14,1.0,0,{'value': '1795.4046933'},{'value': '1796.16'},10000000,1,1.019999999999999999972831879,32.26597488721813454,1795.4046933
16,11865064,6256.799518562104,7204.9644041229085,0.001772285078867474,3.183307567258602,"{'block': '11865022', 'id': '0xb70785b0fed516ef70905011a7c9196037baab36a0fcc046aab4332ff84b9296-115', 'value': '3.14'}",{'hourlyRate': '1'},1613442165,3.14,1.0,0,{'value': '1765.95539775'},{'value': '1796.16'},10000000,1,1.019999999999999999972831879,32.26597488721813454,1765.95539775
17,11865513,6256.799518562104,7204.985987855581,0.0023057405910641036,4.187570774461071,"{'block': '11865271', 'id': '0x8ed610349b7f94732726aa5c978361291832e7c92b9f9467a87b5410d3d5ff99-148', 'value': '3.14'}",{'hourlyRate': '1'},1613447882,3.14,1.0,0,{'value': '1796.16'},{'value': '1816.15'},10000000,1,1.019999999999999999972831879,32.26597488721813454,1796.16
18,11865735,6256.799518562104,7205.003454994314,0.0023057405910641036,4.187570774461071,"{'block': '11865563', 'id': '0x8b7c0200846e77135821c9c7ddea581e635f71d3d354703bf369efde7cc9a4d0-46', 'value': '3.14'}",{'hourlyRate': '1'},1613450914,3.14,1.0,0,{'value': '1798.90780445'},{'value': '1816.15'},10000000,1,1.019999999999999999972831879,34.36597488721813454,1798.90780445
19,11865824,7056.799518562104,8004.909406251388,0.0023057405910641036,4.180668955311717,"{'block': '11865563', 'id': '0x8b7c0200846e77135821c9c7ddea581e635f71d3d354703bf369efde7cc9a4d0-46', 'value': '3.14'}",{'hourlyRate': '1'},1613452095,3.14,1.0,0,{'value': '1816.15'},{'value': '1813.15668012'},10000000,1,1.019999999999999999972831879,34.36597488721813454,1816.15
20,11866378,6254.514977346455,8004.909406251388,0.0038688163202160644,6.952472880468398,"{'block': '11866094', 'id': '0xd2f9e77653411b033438b53a6bfcf31170338c827a29d4943386ea32ab4a389e-261', 'value': '3.14'}",{'hourlyRate': '1'},1613459278,3.14,1.0,0,{'value': '1805.76'},{'value': '1797.05426803'},10000000,1,1.019999999999999999972831879,34.36597488721813454,1805.76
21,11866683,6254.514977346455,8005.063097217344,0.0038716734826445137,6.961670157410733,"{'block': '11866661', 'id': '0xcbc1e9a060211cbfb48e0b3604c14b23f32fa100721c6243766ab06829c05d30-215', 'value': '3.14'}",{'hourlyRate': '1'},1613463478,3.14,1.0,0,{'value': '1805.76'},{'value': '1798.10363364'},10000000,1,1.019999999999999999972831879,34.36697488721813454,1805.76
22,11867014,6254.514977346455,8005.063097217344,0.00396186284011276,7.139356075139995,"{'block': '11866918', 'id': '0xf1a189721fadbbe89ecca01245ad17656f8dcef9233718e5588431accef04b5a-166', 'value': '3.14'}",{'hourlyRate': '1'},1613467676,3.14,1.0,0,{'value': '1797.05426803'},{'value': '1802.02'},10000000,1,1.019999999999999999972831879,34.36697488721813454,1797.05426803
23,11867211,6254.514977346455,8005.063097217344,0.00396186284011276,7.138834472759815,"{'block': '11867194', 'id': '0x66d71242be8fb7ee21e522db0b47cf86f954086707f4522f767fb7ac04a98fd0-189', 'value': '3.14'}",{'hourlyRate': '1'},1613470255,3.14,1.0,0,{'value': '1798.10363364'},{'value': '1801.88834416'},10000000,1,1.019999999999999999972831879,34.36697488721813454,1798.10363364
